"","CRC.01.N.RNA","CRC.01.T.RNA","CRC.02.M.RNA","CRC.02.N.RNA","CRC.02.T.RNA","CRC.03.M.RNA","CRC.03.N.RNA","CRC.04.T.RNA","CRC.06.N.RNA","CRC.06.T.RNA","CRC.07.N.RNA","CRC.07.T.RNA","CRC.08.N.RNA","CRC.08.T.RNA","CRC.09.N.RNA","CRC.09.T.RNA","CRC.10.N.RNA","CRC.10.T.RNA","CRC.11.N.RNA","CRC.11.T.RNA","CRC.13.M.RNA","CRC.13.N.RNA","CRC.13.T.RNA"
"ENSG00000237523.1|LINC00857",7.00918466403924,8.83072180242876,9.12439594488388,7.04279566624235,8.28839888330185,8.52112405716507,7.64557779078208,8.28888864648093,7.37861335167035,8.46129311479765,7.24294360486232,8.59696286160568,7.78092999961084,8.05897646685717,7.55975934437631,8.28014712209169,7.53708967207921,8.30281679438879,8.1665812661824,7.67332520028561,8.20153208183128,8.14670284002567,8.10735557257113
"ENSG00000151224.8|MAT1A",6.24393558164214,7.69510326480583,7.29583864516177,7.20830119217762,7.05949289245369,7.30993889078102,6.88119457150003,7.37249926751203,7.09515816950808,6.8438806769399,6.12035420360325,7.81868464284472,7.08267780323385,6.85636104321412,5.71400374095765,8.22503510549032,6.51189137664368,7.4271474698043,6.91467182531258,7.0243670211354,8.26800411409252,5.89320732478058,7.40242129091998
"ENSG00000189129.9|PLAC9",9.06788734354073,7.71553848393679,7.30348967667079,9.46533300562385,7.83886911736313,8.27499179955024,8.40455993083695,7.92814006927058,8.8032414814692,7.98018434600833,9.46743842830275,7.31598739917478,8.37465612141191,8.40876970606562,8.91691902558293,7.8665068018946,8.21216524687267,8.57126058060486,8.54625363235726,8.23717219512027,7.89431644031967,9.29440336607126,7.41897199326684
"ENSG00000185737.8|NRG3",6.77131675298701,6.37610534593996,6.52438492964506,6.6718001099685,6.60900340322866,6.56897377461299,6.90565143992071,6.33056322830852,6.78398974295582,6.36343235597116,6.57371104946349,6.57371104946349,6.93506979688997,6.21235230203701,6.97404533333916,6.17337676558782,6.57371104946349,6.57371104946349,7.15788201328785,5.98954008563913,6.87994032748766,6.82141141790863,6.10383669744592
"ENSG00000188373.4|C10orf99",11.2623748930382,11.7294492610864,9.94555907929564,12.5248614322957,10.6680330923405,10.158691870394,12.0540993185213,10.9256624150166,12.8833867277746,10.10843742635,11.8770498198539,11.1147743342707,12.0146425435383,10.9771816105863,11.2839172402327,11.7079069138919,12.4313700517702,10.5604541023545,13.0069896768508,9.98483447727387,10.3356373997321,11.3229256872045,11.4798905169953
"ENSG00000204033.5|LRIT2",7.07730636877758,7.20003597503611,6.72348499658074,7.4332748230481,6.98526246049727,6.98307730099247,7.25587176430373,6.90307321482992,7.67923009590735,6.59811224790634,7.59635069720389,6.6809916466098,7.2317458582409,7.0455964855728,7.34215298168274,6.93518936213095,7.54699217886557,6.73035016494813,7.53196883063095,6.74537351318275,6.88747751136404,7.04779769117699,7.20674707758508
"ENSG00000148600.10|CDHR1",12.3793855841984,12.6659512127702,11.068726239253,14.0442500662074,11.5614191759163,12.2356995163378,12.6200822819481,11.8186136830908,14.0515321755852,10.9938046213834,13.340408400706,11.7049283962626,12.7883286641385,12.2570081328302,12.6101242011703,12.4352125957983,13.5387532672893,11.5065835296794,14.1242535467028,10.9210832502658,11.5827502976333,12.7701129508328,12.3215322329106
"ENSG00000182771.13|GRID1",7.93639322466057,7.18019724866003,6.6969541529659,8.40607720917358,6.94106479168925,7.08322920341311,7.61771555935103,7.3431513910646,7.81083093523225,7.30575953808835,7.88853836915964,7.22805210416096,7.38129010031841,7.73530037300219,7.97127826364005,7.14531220968055,7.1049917004111,8.0115987729095,7.89234091636727,7.22424955695333,7.00233368514538,7.72493454424613,7.31682792443722
"ENSG00000122367.15|LDB3",7.50755960998664,6.96661275697264,7.03827946936941,7.26702596789163,7.09785166192809,6.65657341606124,7.85122760685894,6.89535607626895,7.61613601470213,6.85803635225716,7.52278124649642,6.95139112046287,7.21603018033656,7.25814218662273,7.93307588398943,6.54109648296986,7.80841460853038,6.66575775842891,7.88298026295183,6.59119210400746,7.09210131125887,7.18293152515942,7.12812426277084
"ENSG00000173269.9|MMRN2",9.04477029409042,10.1394758569236,8.36283331895302,9.68533474554228,9.48906543704962,8.81774104796661,9.43556482829003,9.28392762528829,10.7037816504225,8.48046450059154,9.01930002047748,10.1649461305366,10.2333119534288,8.95093419758522,11.3008587592849,7.8833873917292,9.76149454851364,9.42275160250042,9.43567396659825,9.74857218441581,7.87838768467296,10.3830944906094,9.27575132626259
